QSM  NN 18.3000 S 0.20    E  64.00
ISA  CI 25.0300 S 0.21    E  87.60
LMR2 CI 15.0300 P 0.48    E  87.70
GWY  NN 15.3500 P 0.02    E  92.00
GWY  NN 26.4900 S 0.41    E  92.00
AVM  CI 30.5500 S 0.02    E  107.70
# 2019 07 04 17 12 14.97  35.7065 -117.5032 10.52  2.13  0.15  0.33  0.16  37  85  40  23        11
WNM  CI  6.8200 P 0.04 U  I  39.30
WRV2 CI  8.2300 P 0.07 U  I  48.30
B921 PB  2.9000 P 0.06 D  I  13.80
B921 PB  5.2600 S 0.25    E  13.80
CLC  CI  3.1000 P 0.01 D  I  14.80
CLC  CI  5.6300 S 0.39    E  14.80
SRT  CI  4.5500 P 0.04 U  I  22.30
SRT  CI  8.4500 S 1.04    E  22.30
CCC  CI  4.7800 P 0.13 D  I  23.70
CCC  CI  8.5500 S 0.69    E  23.70
TOW2 CI  5.1700 P 0.06 U  I  26.20
TOW2 CI  9.5500 S 1.32    E  26.20
B918 PB  4.7400 P 0.15 D  I  26.90
B918 PB  8.4800 S 0.21    E  26.90
SLA  CI  5.2200 P 0.03 D  I  28.50
SLA  CI  9.1300 S 0.25    E  28.50
WRC2 CI  5.3600 P 0.06 D  I  29.90
WRC2 CI  9.6400 S 0.44    E  29.90
LRL  CI  5.2700 P 0.12 D  I  29.90
LRL  CI  8.9900 S 0.15    E  29.90
WBM  CI  6.7700 P 0.18 U  I  36.60
WBM  CI 11.8300 S 0.95    E  36.60
MPM  CI  6.6900 P 0.08 D  I  39.10
MPM  CI 11.9600 S 0.49    E  39.10
WVP2 CI  6.8200 P 0.06 U  I  39.10
WVP2 CI 12.1700 S 0.50    E  39.10
B917 PB  6.8900 P 0.06 D  I  40.10
B917 PB 12.0100 S 0.22    E  40.10
JRC2 CI  7.2400 P 0.05 U  I  41.20
JRC2 CI 12.5600 S 0.36    E  41.20
WCS2 CI  7.4000 P 0.00    E  42.50
WCS2 CI 12.8200 S 0.30    E  42.50
WRV2 CI 14.5200 S 0.43    E  48.30
WMF  CI  9.4700 P 0.03 D  I  55.60
WMF  CI 16.5000 S 0.44    E  55.60
B916 PB  9.3200 P 0.11 D  I  56.00
B916 PB 16.5800 S 0.46    E  56.00
DTP  CI  9.5500 P 0.23 D  I  57.80
DTP  CI 16.5900 S 0.01    E  57.80
WBS  CI 10.1700 P 0.07 U  I  60.60
WBS  CI 17.6200 S 0.21    E  60.60
DAW  CI 10.4400 P 0.28    E  63.30
DAW  CI 18.8300 S 0.46    E  63.30
QSM  NN 10.7600 P 0.08    E  63.90
QSM  NN 18.5200 S 0.10    E  63.90
WOR  CI 11.0900 P 0.09    E  66.70
WOR  CI 19.1000 S 0.11    E  66.70
WHF  CI 12.7000 P 0.06 U  I  76.60
WHF  CI 21.7300 S 0.07    E  76.60
CCA  CI 12.9200 P 0.03 D  I  77.10
CCA  CI 22.6300 S 0.77    E  77.10
GSC  CI 12.9600 P 0.01    E  77.50
GSC  CI 22.5100 S 0.44    E  77.50
ISA  CI 14.4900 P 0.01 U  I  87.80
ISA  CI 24.9100 S 0.26    E  87.80
WAS2 CI 27.2900 S 0.65    E  95.20
TEH  CI 15.3800 P 0.19    E  95.00
TEH  CI 26.5600 S 0.04    E  95.00
WAS2 CI 15.8900 P 0.22    E  95.20
CGO  CI 16.3800 P 0.45    E  97.60
EDW2 CI 16.6700 P 0.04    E  102.00
EDW2 CI 29.1800 S 0.78    E  102.00
AVM  CI 17.8500 P 0.23    E  107.40
AVM  CI 30.4900 S 0.27    E  107.40
LDR  CI 31.4900 S 0.78    E  110.00
SHO  CI 19.0400 P 0.53    E  112.80
SHO  CI 32.8200 S 1.25    E  112.80
TPO  CI 18.8400 P 0.41    E  113.10
TPO  CI 32.3800 S 0.77    E  113.10
SBB2 CI 19.2900 P 0.45    E  116.90
SBB2 CI 33.6100 S 1.35    E  116.90
LEC  SN 19.5000 P 0.10    E  119.90
LEC  SN 33.6700 S 0.24    E  119.90
HEL  SN 20.4100 P 0.51    E  122.60
HEL  SN 34.8500 S 0.62    E  122.60
SPG2 CI 20.5700 P 0.26    E  126.20
SPG2 CI 35.1200 S 0.35    E  126.20
